BILL,REPRESENTATIVE,PARTY,VOTE,DATE,BILL_NAME,COMMITTEE,STATE
1319,Lamborn,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,CO
1319,Langevin,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,RI
1319,Larsen (WA),Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,WA
1319,Larson (CT),Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,CT
1319,Latta,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,OH
1319,Lawrence,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,MI
1319,Lawson (FL),Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,FL
1319,Lee (CA),Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,CA
1319,Lee (NV),Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,NV
1319,Leger Fernandez,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,NM
1319,Lesko,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,AZ
1319,Levin (CA),Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,CA
1319,Levin (MI),Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,MI
1319,Lieu,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,CA
1319,Lofgren,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,CA
1319,Long,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,MO
1319,Loudermilk,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,GA
1319,Lowenthal,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,CA
1319,Lucas,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,OK
1319,Luetkemeyer,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,MO
1319,Luria,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,VA
1319,Lynch,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,MA
1319,Mace,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,SC
1319,Malinowski,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,NJ
1319,Malliotakis,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,NY
1319,"Maloney, Carolyn B.",Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,NY
1319,"Maloney, Sean",Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,NY
1319,Mann,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,KS
1319,Manning,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,NC
1319,Massie,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,KY
1319,Mast,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,FL
1319,Matsui,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,CA
1319,McBath,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,GA
1319,McCarthy,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,CA
1319,McCaul,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,TX
1319,McClain,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,MI
1319,McClintock,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,CA
1319,McCollum,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,MN
1319,McEachin,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,VA
1319,McGovern,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,MA
1319,McHenry,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,NC
1319,McKinley,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,WV
1319,McNerney,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,CA
1319,Meeks,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,NY
1319,Meijer,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,MI
1319,Meng,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,NY
1319,Meuser,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,PA
1319,Mfume,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,MD
1319,Miller (IL),Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,IL
1319,Miller (WV),Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,WV
1319,Miller-Meeks,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,IA
1319,Moolenaar,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,MI
1319,Mooney,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,WV
1319,Moore (AL),Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,AL
1319,Moore (UT),Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,UT
1319,Moore (WI),Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,WI
1319,Morelle,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,NY
1319,Moulton,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,MA
1319,Mrvan,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,IN
1319,Mullin,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,OK
1319,Murphy (FL),Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,FL
1319,Murphy (NC),Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,NC
1319,Nadler,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,NY
1319,Napolitano,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,CA
1319,Neal,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,MA
1319,Neguse,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,CO
1319,Nehls,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,TX
1319,Newhouse,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,WA
1319,Newman,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,IL
1319,Norcross,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,NJ
1319,Norman,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,SC
1319,Nunes,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,CA
1319,O'Halleran,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,AZ
1319,Obernolte,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,CA
1319,Ocasio-Cortez,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,NY
1319,Omar,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,MN
1319,Owens,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,UT
1319,Palazzo,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,MS
1319,Pallone,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,NJ
1319,Palmer,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,AL
1319,Panetta,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,CA
1319,Pappas,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,NH
1319,Pascrell,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,NJ
1319,Payne,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,NJ
1319,Pelosi,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,CA
1319,Pence,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,IN
1319,Perlmutter,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,CO
1319,Perry,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,PA
1319,Peters,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,CA
1319,Pfluger,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,TX
1319,Phillips,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,MN
1319,Pingree,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,ME
1319,Pocan,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,WI
1319,Porter,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,CA
1319,Posey,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,FL
1319,Pressley,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,MA
1319,Price (NC),Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,NC
1319,Quigley,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,IL
1319,Raskin,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,MD
1319,Reed,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,NY
1319,Reschenthaler,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,PA
1319,Rice (NY),Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,NY
