,number,title,classification,timestamp,latitude,longitude,month,year,state
22,2310,Report 2310: Large prints found below Cold Springs,Class B,1963-01-28 12:00:00,38.1625,-120.0522,1,1963,California
23,5720,Report 5720: Night time rabbit hunters spotlight 7' tall biped leaping over 4' sagebrush as it escapes from view,Class A,1963-06-15 12:00:00,42.79166,-116.25,6,1963,Idaho
24,7026,Report 7026: Three teenage boys witness an ape-like creature lope across a field into the woods,Class A,1963-07-01 12:00:00,40.85035,-82.29486,7,1963,Ohio
25,8405,Report 8405: Early evening road crossing sighting by motorist on Jekyll Island,Class A,1963-07-04 12:00:00,31.08925,-81.41267,7,1963,Georgia
26,7785,Report 7785: Family in small boat hears animal retreating and finds prints,Class B,1963-07-15 12:00:00,43.8628,-121.8829,7,1963,Oregon
27,6961,Report 6961: Teen has daytime sighting near Myers Flat,Class A,1963-08-01 12:00:00,40.26639,-123.8692,8,1963,California
28,41995,Report 41995: Memory told of a close encounter with a man-ape outside Gainesville,Class A,1963-09-15 12:00:00,29.67757,-82.35501,9,1963,Florida
29,9546,Report 9546: Teens chased by upright running animal near Bradford,Class A,1963-10-01 12:00:00,41.9548,-78.65621,10,1963,Pennsylvania
30,1953,Report 1953: Deputy Sheriff sees strange footprints above Strawberry,Class B,1963-12-01 12:00:00,38.23243,-119.984,12,1963,California
31,4141,"Report 4141: Witness spots a large, dark, hairy creature standing 50 yards away",Class A,1964-04-15 12:00:00,30.73861,-94.89778,4,1964,Texas
33,2396,Report 2396: Tall creature seen by witness,Class B,1964-06-30 12:00:00,32.26889,-96.69583,6,1964,Texas
34,15273,Report 15273: Young picnicker sees strange creature on rocky ledge above the St. Vrain River,Class A,1964-08-01 12:00:00,40.17585,-105.3792,8,1964,Colorado
35,28095,Report 28095: Man recalls possible encounter at a family cabin in Big Cottonwood Canyon outside Salt Lake City,Class B,1964-08-01 12:00:00,40.60779,-111.6508,8,1964,Utah
36,2553,"Report 2553: Bowhunter and wife abandon deer when threatened by large, unseen animal",Class B,1964-08-30 12:00:00,38.90833,-107.575,8,1964,Colorado
37,5381,Report 5381: Solider describes late night encounter on Fort Jackson,Class B,1964-10-10 12:00:00,34.0431,-80.80685,10,1964,South Carolina
38,6962,Report 6962: Friends hear late night scream near Garberville,Class B,1964-11-01 12:00:00,40.20556,-123.4908,11,1964,California
39,30367,Report 30367: Memories told of encounters experienced by a family living near Villa Grove,Class A,1964-11-07 12:00:00,39.8213,-88.1676,11,1964,Illinois
40,4236,Report 4236: Man recalls a possible encounter as a teen at Fort Gordon,Class B,1965-06-15 12:00:00,33.4119,-82.13665,6,1965,Georgia
41,6963,Report 6963: Teens have unusual experience near Myers Flat,Class A,1965-07-01 12:00:00,40.26639,-123.8692,7,1965,California
42,9202,Report 9202: Man remembers childhood daytime sighting along the Feather River,Class A,1965-07-01 12:00:00,39.205,-121.58,7,1965,California
43,20002,Report 20002: Afternoon highway crossing near Felch,Class A,1965-07-01 12:00:00,46.01398,-87.98718,7,1965,Michigan
44,5652,Report 5652: Apelike creature seen by children on a sand dune near Caseville,Class A,1965-07-15 12:00:00,43.94111,-83.27139,7,1965,Michigan
46,3150,Report 3150: Three witnesses throwing rocks in lake see a Bigfoot peeking at them,Class A,1965-07-30 12:00:00,47.3338,-121.2309,7,1965,Washington
47,1939,Report 1939: Youth's presence startles unknown animal,Class A,1965-10-01 12:00:00,34.6894,-77.2914,10,1965,North Carolina
48,40475,Report 40475: Memory told of strange occurrences while growing up near Castle Rock State Park,Class B,1965-10-02 12:00:00,41.96925,-89.38184,10,1965,Illinois
50,22561,Report 22561: Man recalls childhood observation - large tracks with long stride in snow - near Mayfield,Class B,1966-01-15 12:00:00,43.0949,-74.27923,1,1966,New York
51,25440,Report 25440: Man recalls multiple witness encounter near Hendersonville,Class A,1966-04-15 12:00:00,36.30155,-86.60155,4,1966,Tennessee
52,13816,Report 13816: Possible encounter with soldier training training in the Olympic National Forest,Class B,1966-05-01 12:00:00,47.969,-123.582,5,1966,Washington
53,34555,Report 34555: Woman recalls her nighttime face to face encounter at her window outside Tulsa,Class A,1966-08-15 12:00:00,36.13222,-95.79677,8,1966,Oklahoma
55,8059,Report 8059: Teenagers have sighting of two creatures near Albion,Class A,1966-09-01 12:00:00,39.22361,-123.7675,9,1966,California
56,1473,Report 1473: Family has early evening sighting near Weed,Class A,1966-09-01 12:00:00,41.42806,-122.3839,9,1966,California
57,30814,Report 30814: Possible encounters at a home located on a steep hillside near Ransom,Class B,1967-01-15 12:00:00,37.31413,-82.13403,1,1967,Virginia
58,12294,Report 12294: Daylight sighting near Happy Camp,Class A,1967-03-10 12:00:00,41.75,-123.35,3,1967,California
59,1973,"Report 1973: Teen hunter sees a sasquatch at a distance while bird hunting, and found tracks five years before",Class A,1967-03-15 12:00:00,46.23361,-119.3172,3,1967,Washington
60,29409,Report 29409: Woman remembers childhood sighting near Rogers City,Class A,1967-05-17 12:00:00,45.40985,-83.85985,5,1967,Michigan
61,7830,"Report 7830: Two teenagers witness something running from a pack of dogs on two legs, screaming very loud. The next day large five toed tracks are found",Class B,1967-07-01 12:00:00,41.38274,-82.12263,7,1967,Ohio
62,9868,Report 9868: Youths in Summer Camp have noisy nighttime experience,Class B,1967-07-15 12:00:00,46.951,-122.2985,7,1967,Washington
63,1801,Report 1801: Close daylight sighting of animal crossing road near Spirit Lake,Class A,1967-07-29 12:00:00,47.95614,-116.7787,7,1967,Idaho
64,24404,Report 24404: Woman recalls a very close encounter as a child on a farm near the Mark Twain National Forest,Class A,1967-07-30 12:00:00,36.97061,-92.09264,7,1967,Missouri
65,46494,Report 46494: Memory told of a daytime sighting in Schiller Woods,Class A,1967-08-15 12:00:00,41.9586,-87.8574,8,1967,Illinois
66,1596,"Report 1596: Two men witness three large individuals, two very large and the other about two-thirds their size",Class A,1967-08-16 12:00:00,46.94917,-122.6869,8,1967,Washington
67,1564,"Report 1564: ""Brinson Monster""",Class B,1967-08-18 12:00:00,46.49139,-122.9367,8,1967,Washington
68,23956,Report 23956: Man recounts boyhood sighting at Fairfield Summer Camp near Ligonier,Class A,1967-09-14 12:00:00,40.32247,-79.16817,9,1967,Pennsylvania
69,1644,Report 1644: Witness saw something he felt confident few men had ever seen,Class A,1967-10-18 12:00:00,46.385,-122.1379,10,1967,Washington
70,42730,"Report 42730: Childhood memory told of seeing an upright, white animal while playing in a creek near Brussels",Class B,1968-05-04 12:00:00,38.92993,-90.53175,5,1968,Illinois
71,4953,Report 4953: Family has sighting on farm along Headleys Mill Road,Class A,1968-08-01 12:00:00,40.00915,-82.67252,8,1968,Ohio
72,25082,"Report 25082: Retired police officer recalls he and a friend being intimidated from continuing their hike, near Bonita",Class B,1968-08-15 12:00:00,45.02176,-88.5233,8,1968,Wisconsin
73,3467,Report 3467: Witnesses describe 'huge' black creature that throws dirt at them near Chittyville.,Class C,1968-08-15 12:00:00,37.846,-89.0111,8,1968,Illinois
74,5816,Report 5816: Nighttime encounter by a worker at a logging site,Class B,1968-08-23 12:00:00,45.2075,-121.886,8,1968,Oregon
75,925,"Report 925: Backpacker observes a tall, early morning visitor in camp",Class B,1968-08-30 12:00:00,47.495,-120.835,8,1968,Washington
76,629,Report 629: Hunter locates large footprints near Railroad Flats,Class B,1968-09-01 12:00:00,38.30056,-120.7053,9,1968,California
78,12984,Report 12984: Nighttime sighting by motorists east of Carpentersville,Class A,1968-09-28 12:00:00,42.1295,-88.1577,9,1968,Illinois
79,6960,Report 6960: Early morning vocalizations heard near Rainbow Creek,Class B,1968-10-16 12:00:00,35.42525,-77.67995,10,1968,North Carolina
80,1526,"Report 1526: Couple parked on dirt road encounter hairy, man-like creature",Class A,1968-10-18 12:00:00,31.30853,-94.76362,10,1968,Texas
81,849,Report 849: Girl has daytime sighting near Payne's Creek,Class A,1968-11-01 12:00:00,40.33556,-121.9139,11,1968,California
82,37448,Report 37448: Hunter recalls a possible encounter during deer season near St. Helen,Class B,1968-11-15 12:00:00,44.377,-84.4995,11,1968,Michigan
83,1621,Report 1621: Fisherman witnesses bigfoot cross the road in front of his car,Class A,1969-03-05 12:00:00,45.66194,-122.0144,3,1969,Washington
84,1620,Report 1620: Family on vacation find tracks in an isolated area.,Class B,1969-03-09 12:00:00,46.3341,-121.7913,3,1969,Washington
85,723,Report 723: creature sitting on a wood pile seen watching witness.,Class A,1969-06-15 12:00:00,28.50665,-82.50591,6,1969,Florida
86,21916,Report 21916: Possible Evening Encounter by Woman on Horseback near Union,Class B,1969-07-01 12:00:00,41.80205,-85.84005,7,1969,Michigan
87,50155,Report 50155: Memory of seeing something chimp-like in the trees and being chased out of the woods near Brereton,Class B,1969-07-12 12:00:00,40.61182,-90.01651,7,1969,Illinois
88,22448,Report 22448: Early morning sighting near Scott City Diversion Canal,Class A,1969-07-16 12:00:00,37.236,-89.55949,7,1969,Missouri
89,13674,Report 13674: Sightings around a property near Chesnee,Class B,1969-07-18 12:00:00,35.148,-81.861,7,1969,South Carolina
90,14376,Report 14376: Encounter during a summer camp campout near the Brazos River,Class A,1969-07-20 12:00:00,32.8269,-98.3298,7,1969,Texas
91,24421,Report 24421: Woman remembers daylight sighting while walking in the Slate Creek area,Class A,1969-08-01 12:00:00,37.2875,-81.68124,8,1969,West Virginia
92,28714,Report 28714: Memory told of seeing a bigfoot on the side of a road along Middle Branch Creek,Class A,1969-08-09 12:00:00,40.62288,-89.99328,8,1969,Illinois
93,4741,Report 4741: Four witnesses have encounter near McCall,Class A,1969-08-16 12:00:00,44.91666,-116.0833,8,1969,Idaho
94,1944,Report 1944: Family has multiple encounters with white bigfoot creature,Class A,1969-08-16 12:00:00,33.76986,-94.3643,8,1969,Arkansas
95,24147,Report 24147: Creature seen at a flooded rock quarry near Hampton,Class A,1969-09-01 12:00:00,41.55965,-90.40675,9,1969,Illinois
96,2935,Report 2935: Father and son see large footprints outside Orick,Class B,1969-09-01 12:00:00,41.30056,-124.0644,9,1969,California
98,10510,Report 10510: Logger and granddaughter have brief sighting in the Selkirk Mountains,Class A,1969-10-18 12:00:00,48.1143,-116.0558,10,1969,Idaho
99,5453,Report 5453: Large bipedal animal seen 5 miles East of Packwood on Hwy 12,Class A,1969-11-15 12:00:00,46.6711,-121.5863,11,1969,Washington
100,5452,"Report 5452: A large bipedal animal seen in the headlights on hwy 12,  5 miles East of Packwood",Class A,1969-11-19 12:00:00,46.67389,-121.5867,11,1969,Washington
101,29124,Report 29124: Recollection of a daylight sighting while deer hunting near Greenbrier River.,Class A,1969-11-24 12:00:00,38.1882,-80.1177,11,1969,West Virginia
102,23645,"Report 23645: Sighting by motorist in the Great Smoky Mountains National Park, not far from the park entrance.",Class A,1970-04-01 12:00:00,35.68449,-83.53575,4,1970,Tennessee
103,2602,Report 2602: Loud vocalizations heard near Stevens Pass,Class B,1970-04-14 12:00:00,47.7117,-121.1544,4,1970,Washington
104,1384,Report 1384: Vocalizations heard by hikers,Class B,1970-05-13 12:00:00,47.5225,-121.7569,5,1970,Washington
105,35477,Report 35477: Memory told of a nighttime sighting while joy riding on train tracks near Purcellville,Class A,1970-05-15 12:00:00,39.14588,-77.67422,5,1970,Virginia
106,56107,Report 56107: Memory told of a nighttime sighting while working as a police officer answering a prowler call in Marrero,Class A,1970-05-15 12:00:00,29.5385,-90.593,5,1970,Louisiana
107,7392,Report 7392: Youth catches standing figure in flashlight glow during camp-out,Class A,1970-05-16 12:00:00,36.63931,-78.55758,5,1970,Virginia
108,16714,Report 16714: Two men remember hearing bone-chilling scream while parking at lookout point in Stone State Park,Class B,1970-06-01 12:00:00,42.55576,-96.47562,6,1970,Iowa
109,2957,Report 2957: Youths riding in back of pick-up have close observation of large biped crossing road,Class A,1970-06-15 12:00:00,35.9975,-93.83426,6,1970,Arkansas
110,13673,"Report 13673: Various incidents around home with women and children only, near Summerville",Class A,1970-06-24 12:00:00,33.007,-80.156,6,1970,South Carolina
111,4669,Report 4669: Memory told of hearing possible vocalizations while camping at Hollywood Gorge near Castle Rock,Class B,1970-07-01 12:00:00,46.37,-122.82,7,1970,Washington
112,13037,Report 13037: Possible nest nest and food remains found by retired soldier near the Sandy River,Class B,1970-07-15 12:00:00,45.4861,-122.277,7,1970,Oregon
113,38797,Report 38797: Woman recalls childhood experience of a terrifying night-time encounter while camping near Kennecott Copper mine,Class B,1970-07-17 12:00:00,40.4871,-112.1402,7,1970,Utah
114,6027,Report 6027: Heavy steps around tent in dark scare backpackers,Class B,1970-08-15 12:00:00,44.6335,-121.8165,8,1970,Oregon
115,1234,Report 1234: Creature observed by witness.,Class A,1970-08-15 12:00:00,43.078,-91.3867,8,1970,Iowa
116,23929,Report 23929: Dusk sighting by two women near Three Lakes (w/sketch by artist),Class A,1970-09-01 12:00:00,46.56913,-88.28403,9,1970,Michigan
117,5692,Report 5692: Father and son hear vocalizations on Peavine Mt,Class B,1970-09-01 12:00:00,39.592,-119.975,9,1970,Nevada
118,24569,Report 24569: A couple remembers their daylight sighting while driving thru the Shenandoah National Park many years ago,Class A,1970-09-16 12:00:00,38.73048,-78.33453,9,1970,Virginia
119,44740,Report 44740: Memory told of being chased off by frightening thumps and scream while hiking in Pikes Peak State Park,Class B,1970-09-27 12:00:00,43.00499,-91.17154,9,1970,Iowa
120,3050,Report 3050: Graceful creature ran by man when he was 15,Class A,1970-10-14 12:00:00,45.3725,-121.5835,10,1970,Oregon
121,50659,Report 50659: Young man has several possible day-time encounters near Moses Mountain in the '70s,Class B,1970-10-15 12:00:00,48.40859,-119.0709,10,1970,Washington
122,48354,Report 48354: Woman recalls scary night while at a Girl Scout campground in Bear Brook State Park,Class B,1970-10-31 12:00:00,43.11074,-71.35414,10,1970,New Hampshire
123,28711,Report 28711: Memory told of seeing an upright figure walk into a shooting lane while hunting near Nashwauk,Class A,1970-11-01 12:00:00,47.52522,-93.25262,11,1970,Minnesota
124,4968,Report 4968: Tracks found along soybean field near Edinburgh,Class B,1970-11-01 12:00:00,41.10715,-81.1414,11,1970,Ohio
125,8259,Report 8259: Hunters find scat and have large rock thrown at them,Class B,1970-11-15 12:00:00,46.1333,-68.8405,11,1970,Maine
126,25764,Report 25764: Hunter recalls finding fresh tracks in snow outside of Glide,Class B,1970-11-15 12:00:00,43.40867,-122.8887,11,1970,Oregon
127,1895,Report 1895: Four hunters find large tracks in snow outside their camp,Class B,1970-11-22 12:00:00,47.19944,-120.2758,11,1970,Washington
128,56809,Report 56809: Memory told of seeing a tall figure on a rock embankment at night near Crossville,Class B,1970-12-19 12:00:00,35.545,-85.0667,12,1970,Tennessee
129,11930,Report 11930: Soldier sees large figure while on patrol at Fort Lewis,Class B,1971-03-01 12:00:00,47.0849,-122.5926,3,1971,Washington
130,13287,Report 13287: Possible BF-related incidents around a home near Guadalupe Pass,Class B,1971-04-15 12:00:00,37.4583,-120.0833,4,1971,California
131,1120,Report 1120: Sasquatch encountered standing by porch,Class A,1971-06-01 12:00:00,36.6,-91.2,6,1971,Missouri
132,604,Report 604: Nightime sighting by motorists near Boring,Class A,1971-06-25 12:00:00,45.4237,-122.3876,6,1971,Oregon
133,4307,Report 4307: Late night sighting by children at a home in Calcutta,Class A,1971-06-30 12:00:00,40.6807,-80.57164,6,1971,Ohio
134,15588,Report 15588: Daytime sighting of white creature near Dillon,Class A,1971-06-30 12:00:00,39.7198,-106.1666,6,1971,Colorado
135,1021,Report 1021: Large Creature standing in road,Class A,1971-07-15 12:00:00,29.7351,-81.96195,7,1971,Florida
136,513,Report 513: Future doctor sees giant tracks high in Rawah wilderness,Class A,1971-07-15 12:00:00,40.79166,-105.9583,7,1971,Colorado
137,19938,Report 19938: Teenager views runner covered in hair near Michigamme,Class A,1971-07-15 12:00:00,46.5244,-88.16701,7,1971,Michigan
138,4983,Report 4983: Sighting and vocalizations at a home in Wayne National Forest,Class A,1971-08-01 12:00:00,39.38745,-81.67339,8,1971,Ohio
139,2385,Report 2385: Strange sounds heard over the course of that summer,Class B,1971-08-01 12:00:00,38.14415,-85.89175,8,1971,Kentucky
140,1954,Report 1954: Brothers have strange experience above Strawberry,Class B,1971-08-06 12:00:00,38.29116,-119.7275,8,1971,California
141,1645,Report 1645: Witness observed creature walking up a hill,Class A,1971-08-27 12:00:00,46.27583,-122.2083,8,1971,Washington
142,3606,Report 3606: Campers have daylight sighting near Leadville,Class A,1971-09-15 12:00:00,39.25,-106.3,9,1971,Colorado
143,3439,Report 3439: Young boy startles creature under house porch.,Class A,1971-10-01 12:00:00,36.09945,-80.7704,10,1971,North Carolina
144,1228,"Report 1228: Youngster frightened by ""monster"" peeping in window",Class B,1971-10-01 12:00:00,40.025,-105.4458,10,1971,Colorado
145,39858,Report 39858: Memory told of a possible nighttime sighting outside a home in Granite Falls,Class B,1971-10-15 12:00:00,48.0835,-121.9683,10,1971,Washington
146,10046,"Report 10046: Small group observed in a remote part of Essex County Swamp, around noon.",Class A,1971-10-16 12:00:00,40.8959,-74.2918,10,1971,New Jersey
147,2909,Report 2909: Deer kill stash discovered after bigfoot sighting,Class B,1971-10-25 12:00:00,34.72195,-94.96639,10,1971,Oklahoma
148,23227,Report 23227: Daylight sighting by squirrel hunter outside Sarepta,Class A,1971-11-12 12:00:00,32.895,-93.45,11,1971,Louisiana
149,36761,Report 36761: Memory told of a close encounter while deer hunting east of Salem,Class A,1971-11-17 12:00:00,37.39315,-91.3012,11,1971,Missouri
150,24052,Report 24052: Man recounts boyhood experience of hearing a terrifying scream while hunting near the San Pedro River,Class B,1972-01-01 12:00:00,31.63,-110.177,1,1972,Arizona
151,63178,Report 63178: A couple is escorted out of the forest after finding a possible nesting area near Rio Grande,Class B,1972-01-17 12:00:00,38.88059,-82.43382,1,1972,Ohio
152,3525,Report 3525: Snowmobiler finds large barefoot tracks in upper peninsula of Michigan,Class B,1972-02-25 12:00:00,46.52889,-85.49639,2,1972,Michigan
153,1719,Report 1719: Possible collision with vehicle outside Homestead,Class B,1972-03-15 12:00:00,25.4817,-80.5158,3,1972,Florida
154,5519,Report 5519: Man recalls childhood encounter with sasquatch,Class B,1972-05-15 12:00:00,30.32305,-85.4427,5,1972,Florida
155,1652,"Report 1652: Multiple witness incident on the western slope of Silver Star Mt., near Pyramid Rock",Class A,1972-05-22 12:00:00,45.74639,-122.2375,5,1972,Washington
156,12302,"Report 12302: Yellowstone backcountry ranger describes sighting, other incidents",Class A,1972-06-06 12:00:00,44.58333,-110.5,6,1972,Wyoming
157,41634,Report 41634: Memory told of observing bi-pedal creatures while driving on an unimproved dirt road in the Wallowa Mountains east of Cove,Class B,1972-07-01 12:00:00,45.44986,-117.7273,7,1972,Oregon
158,27768,Report 27768: Memory shared of a daylight sighting while searching for bottles along a rural road outside Garrett,Class A,1972-07-15 12:00:00,32.36,-96.66,7,1972,Texas
159,31912,Report 31912: Childhood sighting recalled near Whitehouse,Class A,1972-07-15 12:00:00,32.24271,-95.12872,7,1972,Texas
160,1136,Report 1136: Creature seen stepping over four foot barbed wire fence near the town of Louisiana,Class A,1972-07-15 12:00:00,39.3735,-91.093,7,1972,Missouri
161,1632,Report 1632: Family camping at Lake Somerville is menaced by a loud screaming creature,Class B,1972-07-15 12:00:00,30.33333,-96.55,7,1972,Texas
162,37304,Report 37304: Best friends recall watching their dirt bike being canvassed by a hairy biped while camping at Lake Mills,Class A,1972-07-29 12:00:00,28.62323,-81.12898,7,1972,Florida
163,4959,Report 4959: Nightime sighting at a Lake Milton marina,Class A,1972-08-01 12:00:00,41.1174,-80.9835,8,1972,Ohio
164,10687,Report 10687: Child sees large figure looking at him in window at night,Class B,1972-08-15 12:00:00,39.01142,-76.53862,8,1972,Maryland
165,5697,Report 5697: Three boys encounter sasquatch in eroded terrain,Class A,1972-08-15 12:00:00,39.679,-119.6665,8,1972,Nevada
166,1612,Report 1612: Screams terrify campers near Mt. St. Helens,Class B,1972-08-15 12:00:00,46.06333,-122.1967,8,1972,Washington
167,5770,Report 5770: Four feral dogs chase sasquatch,Class B,1972-08-25 12:00:00,39.679,-119.6665,8,1972,Nevada
169,1226,Report 1226: Teens returning from baseball game were chased by bigfoot.,Class A,1972-08-31 12:00:00,47.0033,-123.4822,8,1972,Washington
170,32196,Report 32196: Memory told of family encounters near Granite City.,Class B,1972-09-04 12:00:00,38.74784,-90.14547,9,1972,Illinois
171,8487,Report 8487: Hiking boy has close encounter in High Sierra,Class A,1972-09-15 12:00:00,37.5703,-118.972,9,1972,California
172,3471,Report 3471: Beige upright creature seen at a distance of 1000 yards near Kell.,Class C,1972-09-15 12:00:00,38.4975,-88.9094,9,1972,Illinois
173,26605,Report 26605: Man recalls early morning sighting while squirrel hunting near Salyersville,Class A,1972-09-30 12:00:00,37.81144,-83.08006,9,1972,Kentucky
174,15120,Report 15120: Man describes daylight sighting by father (elk hunter) near Clarkia,Class B,1972-10-01 12:00:00,47.0615,-116.322,10,1972,Idaho
175,2390,Report 2390: Bow hunter encounters large bipedal animal with a short neck and long arms,Class A,1972-10-01 12:00:00,36.89478,-87.02245,10,1972,Kentucky
176,7715,Report 7715: Duck hunters have early morning encounter,Class A,1972-10-14 12:00:00,30.2576,-92.6221,10,1972,Louisiana
177,27035,Report 27035: Man recounts childhood incident at his home on Oneida Lake,Class B,1972-10-28 12:00:00,43.1546,-75.73906,10,1972,New York
178,28423,Report 28423: Man recalls his face to face daylight encounter in Siloam Springs State Park,Class A,1972-10-29 12:00:00,39.93521,-89.88871,10,1972,Illinois
179,1636,Report 1636: Teenager has sighting near Ozark National Forest,Class A,1972-11-05 12:00:00,36.19444,-92.38222,11,1972,Arkansas
180,2830,Report 2830: BF shakes bush and screams at 2 hunters,Class A,1972-11-15 12:00:00,43.79834,-84.2114,11,1972,Michigan
181,10608,Report 10608: Deer hunter watches large upright walking animal on Butler Knob.,Class A,1972-11-18 12:00:00,35.6267,-81.5917,11,1972,North Carolina
182,18623,Report 18623: Memory told of an early morning encounter with hairy biped near Buchanan,Class A,1972-11-18 12:00:00,37.54,-79.57,11,1972,Virginia
183,1338,Report 1338: Several incidents in the East Fork Community,Class A,1973-01-01 12:00:00,31.1603,-90.71574,1,1973,Mississippi
184,5059,Report 5059: Family hears strange screams off Highway 54,Class B,1973-04-04 12:00:00,39.445,-91.07,4,1973,Missouri
185,26381,Report 26381: Man recalls adversarial encounter with an unknown creature near French Gulch,Class B,1973-04-15 12:00:00,40.8333,-122.6417,4,1973,California
186,56954,Report 56954: Two young hunters hide and watch hairy bipedal animal walking near the Jenkins Ferry Battleground Historical Monument,Class A,1973-04-15 12:00:00,34.20873,-92.57542,4,1973,Arkansas
187,1383,Report 1383: Creature seen running along a road,Class A,1973-04-18 12:00:00,47.29944,-122.1806,4,1973,Washington
188,23530,Report 23530: Man recalls childhood incident near Grayling,Class A,1973-05-01 12:00:00,44.7,-84.71,5,1973,Michigan
189,26905,Report 26905: Fisherman has closeup encounter with a juvenile near Kankakee,Class A,1973-05-13 12:00:00,41.16124,-87.58124,5,1973,Illinois
190,1809,Report 1809: Two witnesses see a crouched figure on the beach. It stood up and walked into the nearby woods,Class A,1973-05-19 12:00:00,47.4549,-122.2825,5,1973,Washington
191,3472,Report 3472: Series of three incidents describing a human sized creature near edge of Edwardsville.,Class C,1973-06-06 12:00:00,38.809,-89.918,6,1973,Illinois
192,42547,Report 42547: Woman recalls her possible encounter on a farm outside Prairie du Rocher.,Class B,1973-06-08 12:00:00,38.09052,-90.06338,6,1973,Illinois
193,32162,Report 32162: Recollection of daylight sighting as youth near Victoria,Class A,1973-06-09 12:00:00,40.98073,-90.18332,6,1973,Illinois
194,44283,Report 44283: Family members describe screaming and house smacking near Prairie Home,Class A,1973-06-13 12:00:00,38.437,-92.408,6,1973,Missouri
195,23400,Report 23400: Upright creature crosses road in the path of a car near Newington Forest,Class A,1973-06-13 12:00:00,38.741,-77.23238,6,1973,Virginia
196,50534,Report 50534: Memory told of rocks thrown as two friends attempt to climb steep hill at Lake of the Ozarks,Class B,1973-07-01 12:00:00,38.16811,-92.79309,7,1973,Missouri
197,27978,Report 27978: Memory of a possible encounter as young girls riding horses at night near the Coralville Reservoir,Class B,1973-07-01 12:00:00,41.76292,-91.59415,7,1973,Iowa
198,10538,Report 10538: Youths have daylight sighting near Westfield,Class A,1973-07-10 12:00:00,40.0403,-86.1084,7,1973,Indiana
199,58048,Report 58048: Recalling a morning sighting as a teenager horseback riding near Marblemount,Class A,1973-07-15 12:00:00,48.52395,-121.4105,7,1973,Washington
